Date,Hour,Consumption
2017-08-01,1,333821.28632831573
2017-08-01,2,328723.8411497772
2017-08-01,3,332751.7511674166
2017-08-01,4,336506.6966801882
2017-08-01,5,335905.2684223652
2017-08-01,6,336905.5586299002
2017-08-01,7,335803.2735439539
2017-08-01,8,338326.81029716134
2017-08-01,9,345681.4701730609
2017-08-01,10,350979.2538448274
2017-08-01,11,354136.953612715
2017-08-01,12,369892.19426581264
2017-08-01,13,381270.03438323736
2017-08-01,14,398104.5607805252
2017-08-01,15,398186.39691364765
2017-08-01,16,403133.6307787001
2017-08-01,17,404736.9599226415
2017-08-01,18,405754.26650971174
2017-08-01,19,411924.298617512
2017-08-01,20,410575.8278154433
2017-08-01,21,419948.18266394734
2017-08-01,22,417079.7286364734
2017-08-01,23,415528.6491189599
2017-08-01,24,412660.4005739689
2017-08-02,1,327060.7295986712
2017-08-02,2,326560.16493445635
2017-08-02,3,323798.1559883654
2017-08-02,4,327459.1442527771
2017-08-02,5,323680.2679935396
2017-08-02,6,328577.5116298795
2017-08-02,7,323157.69670271873
2017-08-02,8,326652.78572171926
2017-08-02,9,335537.4787110388
2017-08-02,10,361591.1723960638
2017-08-02,11,365801.2254483402
2017-08-02,12,384650.69916179776
2017-08-02,13,394046.8664418757
2017-08-02,14,408232.26328113675
2017-08-02,15,409529.5967154205
2017-08-02,16,411635.332526356
2017-08-02,17,413613.1219472289
2017-08-02,18,425025.93372416496
2017-08-02,19,431697.8945658803
2017-08-02,20,433349.4268757999
2017-08-02,21,436631.38394010067
2017-08-02,22,439085.7412163913
2017-08-02,23,442589.642931968
2017-08-02,24,410867.89780023694
2017-08-03,1,339908.406113863
2017-08-03,2,327889.17338979244
2017-08-03,3,325159.89789274335
2017-08-03,4,326394.28945183754
2017-08-03,5,320620.86112096906
2017-08-03,6,319532.6577183902
2017-08-03,7,316357.99287059903
2017-08-03,8,331265.6869548559
2017-08-03,9,342729.1218968034
2017-08-03,10,369200.90388435125
2017-08-03,11,379467.1866437793
2017-08-03,12,385233.8554302454
2017-08-03,13,406512.85146570206
2017-08-03,14,409922.6215826869
2017-08-03,15,419909.1217492223
2017-08-03,16,424666.0557242334
2017-08-03,17,431385.62828209996
2017-08-03,18,435431.1173787117
2017-08-03,19,430741.54946422577
2017-08-03,20,432809.92808800936
2017-08-03,21,443261.93372675776
2017-08-03,22,442463.4882749617
2017-08-03,23,435620.2332610488
2017-08-03,24,405075.70830351114
2017-08-04,1,340388.5763833225
2017-08-04,2,334403.1762737334
2017-08-04,3,338237.17895406485
2017-08-04,4,342672.0052075386
2017-08-04,5,331503.3764593303
2017-08-04,6,331676.7072105408
2017-08-04,7,337483.29608154297
2017-08-04,8,336338.410838753
2017-08-04,9,353521.88208308816
2017-08-04,10,373561.56469514966
2017-08-04,11,386974.08370766044
2017-08-04,12,397940.8046769798
2017-08-04,13,413815.16781431437
2017-08-04,14,426455.99463894963
2017-08-04,15,434625.18482479453
2017-08-04,16,433170.57632014155
2017-08-04,17,436117.4985024333
2017-08-04,18,442218.75919145346
2017-08-04,19,438931.00567120314
2017-08-04,20,436245.68087384105
2017-08-04,21,444527.74924317
2017-08-04,22,438379.11220532656
2017-08-04,23,433276.62502360344
2017-08-04,24,428162.490149498
2017-08-05,1,341898.8139755428
2017-08-05,2,336056.86489889026
2017-08-05,3,334042.37418857217
2017-08-05,4,335718.8520860076
2017-08-05,5,334785.29475048184
2017-08-05,6,338774.10738638043
2017-08-05,7,337487.6001764238
2017-08-05,8,335603.2672818899
2017-08-05,9,344072.0659292042
2017-08-05,10,368423.91393226385
2017-08-05,11,368604.2428287864
2017-08-05,12,389852.1360498071
2017-08-05,13,389994.08692374825
2017-08-05,14,406740.6658896506
2017-08-05,15,416895.3777986467
2017-08-05,16,416745.3051210344
2017-08-05,17,419541.4164612889
2017-08-05,18,424656.8355331123
2017-08-05,19,422842.3796184063
2017-08-05,20,420089.7685419023
2017-08-05,21,434065.9050883055
2017-08-05,22,419012.26725175977
2017-08-05,23,412267.0948345661
2017-08-05,24,428873.5960614383
2017-08-06,1,332799.5864671767
2017-08-06,2,330584.74378591776
2017-08-06,3,329066.0715199709
2017-08-06,4,328103.4243553281
2017-08-06,5,325716.00716534257
2017-08-06,6,323039.2974768877
2017-08-06,7,323691.6298235655
2017-08-06,8,330707.12977811694
2017-08-06,9,337843.22380045056
2017-08-06,10,360190.46957564354
2017-08-06,11,367084.4424585998
2017-08-06,12,384356.07848522067
2017-08-06,13,396771.93332386017
2017-08-06,14,402344.3123240173
2017-08-06,15,412244.08550831676
2017-08-06,16,411283.57074841857
2017-08-06,17,413606.92046016455
2017-08-06,18,418408.6837964952
2017-08-06,19,417224.9734413326
2017-08-06,20,417794.0994848609
2017-08-06,21,425132.6692698896
2017-08-06,22,420038.907418102
2017-08-06,23,419915.750351727
2017-08-06,24,412487.2785373628
2017-08-07,1,349244.9070030451
2017-08-07,2,345606.16671583056
2017-08-07,3,340496.48892080784
2017-08-07,4,342969.44557869434
2017-08-07,5,341513.15599629283
2017-08-07,6,342849.58304837346
2017-08-07,7,346364.1488420665
2017-08-07,8,343232.553352803
2017-08-07,9,356928.311591208
2017-08-07,10,376249.04842713475
2017-08-07,11,391285.12371873856
2017-08-07,12,399894.9404040575
2017-08-07,13,411025.06577926874
2017-08-07,14,420209.82083287835
2017-08-07,15,426731.9628455043
2017-08-07,16,427282.5433485806
2017-08-07,17,428268.22093454003
2017-08-07,18,432731.05445048213
2017-08-07,19,434685.3811754286
2017-08-07,20,436234.8620094061
2017-08-07,21,439123.2757591009
2017-08-07,22,438688.53571888804
2017-08-07,23,432832.36233076453
2017-08-07,24,438575.5464450419
2017-08-08,1,350884.25203719735
2017-08-08,2,355912.24904975295
2017-08-08,3,353824.026940465
2017-08-08,4,351208.8942582607
2017-08-08,5,350842.149307847
2017-08-08,6,350723.31461778283
2017-08-08,7,345376.79849368334
2017-08-08,8,349296.7931034267
2017-08-08,9,360916.1170985997
2017-08-08,10,374969.3950775862
2017-08-08,11,382495.967533648
2017-08-08,12,384289.0940400064
2017-08-08,13,389249.79761990905
2017-08-08,14,396968.60791933537
2017-08-08,15,413910.03656846285
2017-08-08,16,409948.91867512465
2017-08-08,17,419936.38692593575
2017-08-08,18,420809.24801549315
2017-08-08,19,423023.2785962522
2017-08-08,20,426201.71050930023
2017-08-08,21,436762.2103128433
2017-08-08,22,436935.4639504552
2017-08-08,23,427948.9502736926
2017-08-08,24,431663.61524251103
2017-08-09,1,340201.38150948286
2017-08-09,2,340942.26882204413
2017-08-09,3,333806.86101588607
2017-08-09,4,337955.12701132894
2017-08-09,5,331851.2493056357
2017-08-09,6,332987.72065138817
2017-08-09,7,336894.38750752807
2017-08-09,8,344073.24550029635
2017-08-09,9,347579.1327726245
2017-08-09,10,362382.031496644
2017-08-09,11,370114.216144979
2017-08-09,12,374504.77117457986
2017-08-09,13,391741.6970257759
2017-08-09,14,396582.42907589674
2017-08-09,15,401082.5854213834
2017-08-09,16,401358.60933324695
2017-08-09,17,405936.9339206219
2017-08-09,18,413874.35781797767
2017-08-09,19,413366.91483590007
2017-08-09,20,410948.07503029704
2017-08-09,21,415781.06382507086
2017-08-09,22,406539.75236094
2017-08-09,23,409330.24708390236
2017-08-09,24,425465.5040345788
2017-08-10,1,318764.00805971026
2017-08-10,2,315923.2213290632
2017-08-10,3,322198.6409868598
2017-08-10,4,312633.25889605284
2017-08-10,5,312981.1824712455
2017-08-10,6,312884.0104575455
